airport_code,airport_name,airport_name_full,time_label,time_month,time_month_name,time_year,statistics_of_delays_carrier,statistics_of_delays_late_aircraft,statistics_of_delays_national_aviation_system,statistics_of_delays_security,statistics_of_delays_weather,statistics_carriers_total,statistics_flights_cancelled,statistics_flights_delayed,statistics_flights_diverted,statistics_flights_on_time,statistics_flights_total,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-juin-03,6,June,2003,1009,1275,3217,17,328,11,216,5843,27,23974,30060,,
BOS,Boston, MA: Logan International,01-juin-03,6,June,2003,374,495,685,3,66,14,138,1623,3,7875,9639,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-juin-03,6,June,2003,296,477,389,8,78,11,29,1245,15,6998,8287,,
CLT,Charlotte, NC: Charlotte Douglas International,01-juin-03,6,June,2003,300,472,735,2,54,11,73,1562,14,7021,8670,,
DCA,Washington, DC: Ronald Reagan Washington National,01-juin-03,6,June,2003,283,268,487,4,58,13,74,1100,18,5321,6513,,
DEN,Denver, CO: Denver International,01-juin-03,6,June,2003,516,323,664,11,98,13,34,1611,22,10024,11691,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-juin-03,6,June,2003,986,1390,2147,19,258,13,394,4798,133,22303,27628,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-juin-03,6,June,2003,376,371,570,6,71,11,123,1395,9,10227,11754,,
EWR,Newark, NJ: Newark Liberty International,01-juin-03,6,June,2003,322,519,1948,10,121,13,102,2921,42,9441,12506,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-juin-03,6,June,2003,247,256,427,5,34,11,13,967,10,3672,4662,,
IAD,Washington, DC: Washington Dulles International,01-juin-03,6,June,2003,320,295,573,3,66,13,101,1256,35,7027,8419,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-juin-03,6,June,2003,329,730,1405,15,123,12,91,2601,173,12686,15551,,
JFK,New York, NY: John F. Kennedy International,01-juin-03,6,June,2003,376,226,394,21,28,11,24,1046,13,4695,5778,,
LAS,Las Vegas, NV: McCarran International,01-juin-03,6,June,2003,511,678,624,17,64,12,39,1893,6,9821,11759,,
LAX,Los Angeles, CA: Los Angeles International,01-juin-03,6,June,2003,830,765,842,37,97,12,101,2571,10,15780,18462,,
LGA,New York, NY: LaGuardia,01-juin-03,6,June,2003,302,338,867,4,94,11,121,1604,22,7161,8908,,
MCO,Orlando, FL: Orlando International,01-juin-03,6,June,2003,368,434,535,3,48,12,9,1388,9,6211,7617,,
MDW,Chicago, IL: Chicago Midway International,01-juin-03,6,June,2003,180,411,311,12,39,9,47,951,6,6057,7061,,
MIA,Miami, FL: Miami International,01-juin-03,6,June,2003,247,210,585,2,66,11,28,1105,22,3745,4900,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-juin-03,6,June,2003,428,376,759,9,106,11,101,1678,11,10404,12194,,
ORD,Chicago, IL: Chicago O'Hare International,01-juin-03,6,June,2003,801,982,2947,11,157,12,261,4899,38,24997,30195,,
PDX,Portland, OR: Portland International,01-juin-03,6,June,2003,193,248,213,11,22,9,17,684,5,4040,4746,,
PHL,Philadelphia, PA: Philadelphia International,01-juin-03,6,June,2003,338,565,1083,1,64,12,83,2049,20,6917,9069,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-juin-03,6,June,2003,491,569,664,19,41,12,57,1783,10,12158,14008,,
SAN,San Diego, CA: San Diego International,01-juin-03,6,June,2003,324,349,341,8,30,12,20,1052,4,5775,6851,,
SEA,Seattle, WA: Seattle/Tacoma International,01-juin-03,6,June,2003,448,552,454,28,36,12,63,1516,9,7658,9246,,
SFO,San Francisco, CA: San Francisco International,01-juin-03,6,June,2003,416,312,1080,14,59,11,83,1880,9,8211,10183,,
SLC,Salt Lake City, UT: Salt Lake City International,01-juin-03,6,June,2003,363,290,352,15,36,10,34,1057,0,9491,10582,,
TPA,Tampa, FL: Tampa International,01-juin-03,6,June,2003,226,327,524,3,42,11,12,1122,11,4256,5401,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-juil.-03,7,July,2003,1259,1791,4022,13,367,11,484,7452,71,22868,30875,,
BOS,Boston, MA: Logan International,01-juil.-03,7,July,2003,450,587,609,0,61,14,226,1710,3,8033,9972,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-juil.-03,7,July,2003,387,646,544,4,102,11,57,1679,20,6855,8611,,
CLT,Charlotte, NC: Charlotte Douglas International,01-juil.-03,7,July,2003,335,542,945,0,74,11,163,1895,24,6883,8965,,
DCA,Washington, DC: Ronald Reagan Washington National,01-juil.-03,7,July,2003,343,270,573,3,74,13,181,1260,13,5241,6695,,
DEN,Denver, CO: Denver International,01-juil.-03,7,July,2003,562,434,646,2,111,13,71,1753,9,10869,12702,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-juil.-03,7,July,2003,1216,1443,2081,18,244,13,274,5003,64,22982,28323,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-juil.-03,7,July,2003,475,448,816,4,145,12,175,1891,22,10104,12192,,
EWR,Newark, NJ: Newark Liberty International,01-juil.-03,7,July,2003,410,706,1665,11,125,13,285,2917,59,9797,13058,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-juil.-03,7,July,2003,262,328,412,6,35,11,19,1041,1,3785,4846,,
IAD,Washington, DC: Washington Dulles International,01-juil.-03,7,July,2003,395,406,671,10,84,13,217,1567,14,6990,8788,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-juil.-03,7,July,2003,441,960,1506,9,115,12,90,3031,77,13269,16467,,
JFK,New York, NY: John F. Kennedy International,01-juil.-03,7,July,2003,347,231,455,12,39,11,32,1082,24,5067,6205,,
LAS,Las Vegas, NV: McCarran International,01-juil.-03,7,July,2003,560,760,570,8,99,13,73,1998,52,10083,12206,,
LAX,Los Angeles, CA: Los Angeles International,01-juil.-03,7,July,2003,864,807,557,12,141,12,145,2380,10,16760,19295,,
LGA,New York, NY: LaGuardia,01-juil.-03,7,July,2003,336,434,1060,0,105,11,285,1934,63,7012,9294,,
MCO,Orlando, FL: Orlando International,01-juil.-03,7,July,2003,451,519,797,3,63,12,19,1834,10,6163,8026,,
MDW,Chicago, IL: Chicago Midway International,01-juil.-03,7,July,2003,236,559,637,14,86,9,62,1531,51,5655,7299,,
MIA,Miami, FL: Miami International,01-juil.-03,7,July,2003,315,268,588,4,41,12,44,1216,17,3849,5126,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-juil.-03,7,July,2003,531,428,860,6,108,11,141,1930,13,10766,12850,,
ORD,Chicago, IL: Chicago O'Hare International,01-juil.-03,7,July,2003,961,1728,4305,8,258,12,1258,7259,135,22693,31345,,
PDX,Portland, OR: Portland International,01-juil.-03,7,July,2003,224,332,126,7,26,9,25,716,2,4273,5016,,
PHL,Philadelphia, PA: Philadelphia International,01-juil.-03,7,July,2003,399,634,1130,1,93,12,198,2257,21,6876,9352,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-juil.-03,7,July,2003,593,743,498,8,66,12,96,1909,27,12378,14410,,
SAN,San Diego, CA: San Diego International,01-juil.-03,7,July,2003,381,386,340,3,44,12,34,1155,14,5974,7177,,
SEA,Seattle, WA: Seattle/Tacoma International,01-juil.-03,7,July,2003,506,637,421,26,67,12,82,1654,5,8251,9992,,
SFO,San Francisco, CA: San Francisco International,01-juil.-03,7,July,2003,473,365,539,10,76,11,79,1464,8,9192,10743,,
SLC,Salt Lake City, UT: Salt Lake City International,01-juil.-03,7,July,2003,404,284,330,9,65,10,58,1093,11,9782,10944,,
TPA,Tampa, FL: Tampa International,01-juil.-03,7,July,2003,248,395,445,3,44,11,18,1135,9,4452,5614,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-août-03,8,August,2003,1220,1766,4475,9,361,11,364,7829,56,23056,31305,,
BOS,Boston, MA: Logan International,01-août-03,8,August,2003,481,698,978,0,100,14,292,2256,15,7370,9933,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-août-03,8,August,2003,396,668,734,6,127,11,66,1931,41,6598,8636,,
CLT,Charlotte, NC: Charlotte Douglas International,01-août-03,8,August,2003,349,511,928,1,90,11,189,1882,36,6841,8948,,
DCA,Washington, DC: Ronald Reagan Washington National,01-août-03,8,August,2003,338,327,795,3,89,13,262,1554,41,4886,6743,,
DEN,Denver, CO: Denver International,01-août-03,8,August,2003,544,362,560,3,111,12,79,1582,9,11122,12792,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-août-03,8,August,2003,1178,1350,2138,17,269,13,466,4951,169,22370,27956,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-août-03,8,August,2003,459,442,1034,6,155,12,412,2096,52,9620,12180,,
EWR,Newark, NJ: Newark Liberty International,01-août-03,8,August,2003,488,713,2528,7,144,13,431,3881,111,8599,13022,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-août-03,8,August,2003,279,396,489,9,46,11,36,1220,14,3555,4825,,
IAD,Washington, DC: Washington Dulles International,01-août-03,8,August,2003,378,447,849,9,129,13,190,1813,40,6715,8758,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-août-03,8,August,2003,425,587,1132,5,144,12,104,2291,68,13522,15985,,
JFK,New York, NY: John F. Kennedy International,01-août-03,8,August,2003,403,380,856,15,64,11,205,1717,66,4239,6227,,
LAS,Las Vegas, NV: McCarran International,01-août-03,8,August,2003,576,747,480,7,75,12,70,1884,10,10293,12257,,
LAX,Los Angeles, CA: Los Angeles International,01-août-03,8,August,2003,796,761,622,11,139,12,141,2333,9,16770,19253,,
LGA,New York, NY: LaGuardia,01-août-03,8,August,2003,419,500,1421,1,125,11,597,2465,82,6158,9302,,
MCO,Orlando, FL: Orlando International,01-août-03,8,August,2003,450,584,757,6,82,13,48,1878,30,6032,7988,,
MDW,Chicago, IL: Chicago Midway International,01-août-03,8,August,2003,205,446,414,15,72,9,77,1152,13,6035,7277,,
MIA,Miami, FL: Miami International,01-août-03,8,August,2003,293,314,696,10,70,13,97,1385,13,3663,5158,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-août-03,8,August,2003,533,438,639,9,104,11,182,1724,6,10975,12887,,
ORD,Chicago, IL: Chicago O'Hare International,01-août-03,8,August,2003,1017,1512,3461,12,237,12,941,6236,138,23806,31121,,
PDX,Portland, OR: Portland International,01-août-03,8,August,2003,194,336,128,5,29,9,26,693,4,4249,4972,,
PHL,Philadelphia, PA: Philadelphia International,01-août-03,8,August,2003,442,695,1317,0,132,13,242,2590,31,6527,9390,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-août-03,8,August,2003,607,719,509,20,87,12,117,1942,14,12284,14357,,
SAN,San Diego, CA: San Diego International,01-août-03,8,August,2003,375,382,256,2,48,12,27,1062,5,6105,7199,,
SEA,Seattle, WA: Seattle/Tacoma International,01-août-03,8,August,2003,482,730,364,24,57,12,113,1661,12,8229,10015,,
SFO,San Francisco, CA: San Francisco International,01-août-03,8,August,2003,517,385,869,10,94,11,96,1876,5,8755,10732,,
SLC,Salt Lake City, UT: Salt Lake City International,01-août-03,8,August,2003,440,326,381,15,112,10,74,1271,28,9626,10999,,
TPA,Tampa, FL: Tampa International,01-août-03,8,August,2003,265,350,450,2,61,12,37,1129,19,4317,5502,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-sept.-03,9,September,2003,700,807,2267,4,161,11,359,3936,33,26049,30377,,
BOS,Boston, MA: Logan International,01-sept.-03,9,September,2003,287,413,675,1,23,14,257,1398,13,7860,9528,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-sept.-03,9,September,2003,238,289,358,2,41,11,205,930,43,7031,8209,,
CLT,Charlotte, NC: Charlotte Douglas International,01-sept.-03,9,September,2003,169,271,475,0,14,11,145,929,1,7399,8474,,
DCA,Washington, DC: Ronald Reagan Washington National,01-sept.-03,9,September,2003,231,161,470,1,28,13,354,894,29,5230,6507,,
DEN,Denver, CO: Denver International,01-sept.-03,9,September,2003,319,204,336,3,41,13,50,900,6,11120,12076,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-sept.-03,9,September,2003,654,751,1027,2,125,13,571,2562,97,23815,27045,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-sept.-03,9,September,2003,296,236,562,1,52,12,144,1147,13,10032,11336,,
EWR,Newark, NJ: Newark Liberty International,01-sept.-03,9,September,2003,247,483,3818,2,147,13,596,4699,14,6880,12189,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-sept.-03,9,September,2003,143,164,385,1,9,11,35,701,3,3884,4623,,
IAD,Washington, DC: Washington Dulles International,01-sept.-03,9,September,2003,221,241,470,1,29,13,320,966,20,7113,8419,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-sept.-03,9,September,2003,291,498,1094,5,71,12,107,1958,57,13010,15132,,
JFK,New York, NY: John F. Kennedy International,01-sept.-03,9,September,2003,245,159,473,3,19,11,34,896,13,4868,5811,,
LAS,Las Vegas, NV: McCarran International,01-sept.-03,9,September,2003,374,445,370,2,18,12,68,1207,2,10628,11905,,
LAX,Los Angeles, CA: Los Angeles International,01-sept.-03,9,September,2003,542,416,479,6,53,12,171,1496,9,16520,18196,,
LGA,New York, NY: LaGuardia,01-sept.-03,9,September,2003,223,283,1099,0,77,11,341,1684,11,6735,8771,,
MCO,Orlando, FL: Orlando International,01-sept.-03,9,September,2003,212,250,371,1,19,12,63,857,9,6219,7148,,
MDW,Chicago, IL: Chicago Midway International,01-sept.-03,9,September,2003,133,259,224,2,15,9,70,632,9,6509,7220,,
MIA,Miami, FL: Miami International,01-sept.-03,9,September,2003,156,125,479,0,25,12,67,784,10,3871,4732,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-sept.-03,9,September,2003,317,228,755,3,90,11,117,1390,13,10023,11543,,
ORD,Chicago, IL: Chicago O'Hare International,01-sept.-03,9,September,2003,573,892,3323,4,99,12,433,4889,31,24285,29638,,
PDX,Portland, OR: Portland International,01-sept.-03,9,September,2003,133,142,144,2,6,9,44,428,1,4144,4617,,
PHL,Philadelphia, PA: Philadelphia International,01-sept.-03,9,September,2003,207,361,1198,0,40,13,206,1806,33,6902,8947,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-sept.-03,9,September,2003,369,404,347,2,15,12,146,1138,8,12372,13664,,
SAN,San Diego, CA: San Diego International,01-sept.-03,9,September,2003,227,161,177,1,19,12,48,584,6,6250,6888,,
SEA,Seattle, WA: Seattle/Tacoma International,01-sept.-03,9,September,2003,292,308,352,3,18,12,86,972,16,7712,8786,,
SFO,San Francisco, CA: San Francisco International,01-sept.-03,9,September,2003,339,233,765,6,27,11,65,1371,3,8468,9907,,
SLC,Salt Lake City, UT: Salt Lake City International,01-sept.-03,9,September,2003,269,171,260,6,23,10,54,730,0,9769,10553,,
TPA,Tampa, FL: Tampa International,01-sept.-03,9,September,2003,135,197,283,-1,11,11,34,629,0,4535,5198,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-oct.-03,10,October,2003,756,906,3355,4,170,11,189,5188,12,26398,31787,,
BOS,Boston, MA: Logan International,01-oct.-03,10,October,2003,348,382,539,4,13,14,124,1284,9,8543,9960,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-oct.-03,10,October,2003,280,412,334,6,18,11,42,1050,13,7513,8618,,
CLT,Charlotte, NC: Charlotte Douglas International,01-oct.-03,10,October,2003,180,239,420,1,8,11,54,850,2,8210,9116,,
DCA,Washington, DC: Ronald Reagan Washington National,01-oct.-03,10,October,2003,226,172,374,2,18,14,57,790,39,6078,6964,,
